Target,TemperatureC,DewpointC,WindSpeedKMH,Humidity,HourlyPrecipMM
1,11.5,9.4,42.6,87,0.5
1,11.5,9.4,38.9,87,0.5
1,11.4,9.2,37,86,0.5
1,11.4,9.1,40.7,86,0.5
1,11.3,8.9,40.7,85,0.5
1,11.3,8.8,40.7,85,0.5
1,11.2,8.4,42.6,83,0.5
1,11,8.4,44.4,84,0.5
1,10.9,8.2,42.6,83,0.3
1,10.9,8.1,38.9,83,0.3
0,10.8,8.2,32.2,84,0
0,10.7,8.1,30.6,84,0
0,10.6,8,38.9,84,0
0,10.6,7.9,37,84,0
0,10.3,7.9,30.6,85,0
0,10.1,7.5,44.4,84,0
0,9.9,7.2,38.9,83,0
0,9.8,7.1,42.6,83,0
0,9.7,6.9,35.4,83,0
0,9.6,6.8,42.6,83,0
0,9.5,6.8,33.3,83,0
0,9.4,6.7,38.9,83,0
0,9.3,6.6,42.6,83,0
0,9.2,6.5,40.7,83,0
0,9.1,6.4,42.6,83,0
0,9.1,6.3,42.6,83,0
0,8.8,6.2,40.7,84,0
0,8.6,5.9,37,83,0
0,8.5,5.6,22.2,82,0
0,8.3,5.3,24.1,81,0
0,8.2,4.8,38.9,79,0
0,8.2,4.7,38.9,79,0
0,8.1,4.7,33.3,79,0
0,8.1,4.6,44.4,79,0
0,8,4.8,37,80,0
0,7.9,4.9,43.4,81,0
1,7.8,4.9,38.9,82,0.3
1,7.6,4.8,31.5,83,0.3
1,7.4,4.7,35.2,83,0.3
1,7.4,4.7,31.5,83,0.3
1,7.5,4.4,31.5,81,0.3
1,7.6,4.5,31.5,81,0.3
1,7.6,4.3,46.3,80,0.3
1,7.6,4,35.2,78,0.3
1,7.4,3.7,59.2,77,0.3
1,7.3,3.7,44.4,78,0.3
1,7.1,3.7,44.4,79,0.3
2,6.9,3.5,38.6,79,0.3
2,6.7,3.3,35.2,79,0.3
2,6.6,3.2,44.4,79,0.3
2,6.6,3.2,29.6,79,0.3
0,6.5,3.1,31.5,79,0
0,6.5,3.3,25.9,80,0
