"Target","Weather","Friction "
"0.7","2","0.2"
"0.7","2","0.205"
"0.7","2","0.21"
"0.7","2","0.215"
"0.7","2","0.22"
"0.7","2","0.225"
"0.6","2","0.23"
"0.6","2","0.235"
"0.6","2","0.24"
"0.6","2","0.245"
"0.6","2","0.25"
"0.6","2","0.255"
"0.6","2","0.26"
"0.6","2","0.265"
"0.6","2","0.27"
"0.6","2","0.275"
"0.6","2","0.28"
"0.6","2","0.285"
"0.6","2","0.29"
"0.6","2","0.295"
"0.6","2","0.3"
"0.6","2","0.305"
"0.6","2","0.31"
"0.6","2","0.315"
"0.5","2","0.32"
"0.5","2","0.325"
"0.5","2","0.33"
"0.5","2","0.335"
"0.5","2","0.34"
"0.5","2","0.345"
"0.5","2","0.35"
"0.5","2","0.355"
"0.5","2","0.36"
"0.5","2","0.365"
"0.5","2","0.37"
"0.5","2","0.375"
"0.5","2","0.38"
"0.5","2","0.385"
"0.5","2","0.39"
"0.5","2","0.395"
"0.5","2","0.4"
"0.5","2","0.405"
"0.5","2","0.41"
"0.5","2","0.415"
"0.5","2","0.42"
"0.5","2","0.425"
"0.4","2","0.43"
"0.4","2","0.435"
"0.4","2","0.44"
"0.4","2","0.445"
"0.4","2","0.45"
"0.4","2","0.455"
"0.4","2","0.46"
"0.4","2","0.465"
"0.4","2","0.47"
"0.4","2","0.475"
"0.4","2","0.48"
"0.3","2","0.485"
"0.3","2","0.49"
"0.3","2","0.495"
"0.3","2","0.5"
"0.3","2","0.505"
"0.3","2","0.51"
"0.3","2","0.515"
"0.3","2","0.52"
"0.3","2","0.525"
"0.3","2","0.53"
"0.3","2","0.535"
"0.3","2","0.54"
"0.3","2","0.545"
"0.3","2","0.55"
"0.3","2","0.555"
"0.3","2","0.5600000000000001"
"0.2","2","0.5649999999999999"
"0.2","2","0.57"
"0.2","2","0.575"
"0.2","2","0.58"
"0.2","2","0.585"
"0.2","2","0.59"
"0.2","2","0.595"
"0.2","2","0.6"
"0.2","2","0.605"
"0.2","2","0.61"
"0.2","2","0.615"
"0.2","2","0.62"
"0.2","2","0.625"
"0.2","2","0.63"
"0.2","2","0.635"
"0.2","2","0.64"
"0.2","2","0.645"
"0.2","2","0.65"
"0.2","2","0.655"
"0.2","2","0.66"
"0.1","2","0.665"
"0.1","2","0.67"
"0.1","2","0.675"
"0.1","2","0.68"
"0.1","2","0.6850000000000001"
"0.1","2","0.6899999999999999"
"0.1","2","0.695"
"0.1","2","0.7"
"0.1","2","0.705"
"0.1","2","0.71"
"0.1","2","0.715"
"0.1","2","0.72"
"0","2","0.73"
"0","2","0.74"
"0","2","0.75"
"0","2","0.76"
"0","2","0.77"
"0","2","0.78"
"0","2","0.79"
"0","2","0.8"
"0","2","0.9"
"0","2","1"
"1","1","0.01"
"1","1","0.011"
"1","1","0.012"
"1","1","0.013"
"1","1","0.014"
"1","1","0.015"
"1","1","0.016"
"1","1","0.017"
"1","1","0.018"
"1","1","0.019"
"1","1","0.02"
"1","1","0.021"
"1","1","0.022"
"1","1","0.023"
"1","1","0.024"
"1","1","0.025"
"1","1","0.026"
"1","1","0.027"
"1","1","0.028"
"1","1","0.029"
"0.9","1","0.03"
"0.9","1","0.031"
"0.9","1","0.032"
"0.9","1","0.033"
"0.9","1","0.034"
"0.9","1","0.035"
"0.9","1","0.036"
"0.9","1","0.037"
"0.9","1","0.038"
"0.9","1","0.039"
"0.9","1","0.04"
"0.9","1","0.041"
"0.9","1","0.042"
"0.9","1","0.043"
"0.9","1","0.044"
"0.9","1","0.045"
"0.9","1","0.046"
"0.9","1","0.047"
"0.9","1","0.048"
"0.9","1","0.049"
"0.9","1","0.05"
"0.9","1","0.051"
"0.9","1","0.052"
"0.9","1","0.053"
"0.9","1","0.054"
"0.9","1","0.055"
"0.9","1","0.056"
"0.9","1","0.057"
"0.9","1","0.058"
"0.9","1","0.059"
"0.9","1","0.06"
"0.9","1","0.061"
"0.9","1","0.062"
"0.9","1","0.063"
"0.9","1","0.064"
"0.9","1","0.065"
"0.9","1","0.066"
"0.9","1","0.067"
"0.9","1","0.068"
"0.9","1","0.06900000000000001"
"0.9","1","0.07000000000000001"
"0.9","1","0.07099999999999999"
"0.9","1","0.07199999999999999"
"0.9","1","0.073"
"0.9","1","0.074"
"0.9","1","0.075"
"0.9","1","0.076"
"0.9","1","0.077"
"0.9","1","0.078"
"0.9","1","0.079"
"0.9","1","0.08"
"0.9","1","0.081"
"0.9","1","0.082"
"0.9","1","0.083"
"0.9","1","0.08400000000000001"
"0.9","1","0.08500000000000001"
"0.9","1","0.08599999999999999"
"0.9","1","0.08699999999999999"
"0.9","1","0.08799999999999999"
"0.9","1","0.089"
"0.8","1","0.09"
"0.8","1","0.091"
"0.8","1","0.092"
"0.8","1","0.093"
"0.8","1","0.094"
"0.8","1","0.095"
"0.8","1","0.096"
"0.8","1","0.097"
"0.8","1","0.098"
"0.8","1","0.099"
"0.8","1","0.1"
"0.8","1","0.101"
"0.8","1","0.102"
"0.8","1","0.103"
"0.8","1","0.104"
"0.8","1","0.105"
"0.8","1","0.106"
"0.8","1","0.107"
"0.8","1","0.108"
"0.8","1","0.109"
"0.7","1","0.11"
"0.7","1","0.111"
"0.7","1","0.112"
"0.7","1","0.113"
"0.7","1","0.114"
"0.7","1","0.115"
"0.7","1","0.116"
"0.7","1","0.117"
"0.7","1","0.118"
"0.7","1","0.119"
"0.7","1","0.12"
"0.7","1","0.121"
"0.7","1","0.122"
"0.7","1","0.123"
"0.7","1","0.124"
"0.7","1","0.125"
"0.7","1","0.126"
"0.7","1","0.127"
"0.7","1","0.128"
"0.7","1","0.129"
"0.7","1","0.13"
"0.7","1","0.131"
"0.7","1","0.132"
"0.7","1","0.133"
"0.7","1","0.134"
"0.7","1","0.135"
"0.7","1","0.136"
"0.7","1","0.137"
"0.7","1","0.138"
"0.7","1","0.139"
"0.7","1","0.14"
"0.7","1","0.141"
"0.7","1","0.142"
"0.7","1","0.143"
"0.7","1","0.144"
"0.7","1","0.145"
"0.7","1","0.146"
"0.7","1","0.147"
"0.7","1","0.148"
"0.7","1","0.149"
"0.6","1","0.15"
"0.6","1","0.1510000000000001"
"0.6","1","0.1520000000000001"
"0.6","1","0.1530000000000001"
"0.6","1","0.1540000000000001"
"0.6","1","0.1550000000000001"
"0.6","1","0.1560000000000001"
"0.6","1","0.1570000000000001"
"0.6","1","0.1580000000000001"
"0.6","1","0.1590000000000001"
"0.6","1","0.1600000000000001"
"0.6","1","0.1610000000000001"
"0.6","1","0.1620000000000001"
"0.6","1","0.1630000000000001"
"0.6","1","0.1640000000000001"
"0.6","1","0.1650000000000001"
"0.6","1","0.1660000000000001"
"0.6","1","0.1670000000000001"
"0.6","1","0.1680000000000001"
"0.6","1","0.1690000000000001"
"0.6","1","0.1700000000000001"
"0.6","1","0.1710000000000001"
"0.6","1","0.1720000000000001"
"0.6","1","0.1730000000000001"
"0.6","1","0.1740000000000001"
"0.6","1","0.1750000000000001"
"0.6","1","0.1760000000000001"
"0.6","1","0.1770000000000001"
"0.6","1","0.1780000000000001"
"0.6","1","0.1790000000000001"
"0.6","1","0.1800000000000001"
"0.6","1","0.1810000000000001"
"0.6","1","0.1820000000000001"
"0.6","1","0.1830000000000001"
"0.6","1","0.1840000000000001"
"0.6","1","0.1850000000000001"
"0.6","1","0.1860000000000001"
"0.6","1","0.1870000000000001"
"0.6","1","0.1880000000000001"
"0.6","1","0.1890000000000001"
"0.5","1","0.1900000000000001"
"0.5","1","0.1910000000000001"
"0.5","1","0.1920000000000001"
"0.5","1","0.1930000000000001"
"0.5","1","0.1940000000000001"
"0.5","1","0.1950000000000001"
"0.5","1","0.1960000000000001"
"0.5","1","0.1970000000000001"
"0.5","1","0.1980000000000001"
"0.5","1","0.1990000000000001"
"0.5","1","0.2000000000000001"
"0.5","1","0.2010000000000001"
"0.5","1","0.2020000000000001"
"0.5","1","0.2030000000000001"
"0.5","1","0.2040000000000001"
"0.5","1","0.2050000000000001"
"0.5","1","0.2060000000000001"
"0.5","1","0.2070000000000001"
"0.5","1","0.2080000000000001"
"0.5","1","0.2090000000000001"
"0.5","1","0.2100000000000001"
"0.5","1","0.2110000000000001"
"0.5","1","0.2120000000000001"
"0.5","1","0.2130000000000001"
"0.5","1","0.2140000000000001"
"0.5","1","0.2150000000000001"
"0.5","1","0.2160000000000001"
"0.5","1","0.2170000000000001"
"0.5","1","0.2180000000000001"
"0.5","1","0.2190000000000001"
"0.5","1","0.2200000000000001"
"0.5","1","0.2210000000000001"
"0.5","1","0.2220000000000001"
"0.5","1","0.2230000000000001"
"0.5","1","0.2240000000000001"
"0.5","1","0.2250000000000001"
"0.5","1","0.2260000000000001"
"0.5","1","0.2270000000000001"
"0.5","1","0.2280000000000001"
"0.5","1","0.2290000000000001"
"0.4","1","0.2300000000000001"
"0.4","1","0.2310000000000001"
"0.4","1","0.2320000000000001"
"0.4","1","0.2330000000000001"
"0.4","1","0.2340000000000001"
"0.4","1","0.2350000000000001"
"0.4","1","0.2360000000000001"
"0.4","1","0.2370000000000001"
"0.4","1","0.2380000000000001"
"0.4","1","0.2390000000000001"
"0.4","1","0.2400000000000001"
"0.4","1","0.2410000000000001"
"0.4","1","0.2420000000000001"
"0.4","1","0.2430000000000001"
"0.4","1","0.2440000000000001"
"0.4","1","0.2450000000000001"
"0.4","1","0.2460000000000001"
"0.4","1","0.2470000000000001"
"0.4","1","0.2480000000000001"
"0.4","1","0.2490000000000001"
"0.4","1","0.2500000000000001"
"0.4","1","0.2510000000000001"
"0.4","1","0.2520000000000001"
"0.4","1","0.2530000000000001"
"0.4","1","0.2540000000000001"
"0.4","1","0.2550000000000001"
"0.4","1","0.2560000000000001"
"0.4","1","0.2570000000000001"
"0.4","1","0.2580000000000001"
"0.4","1","0.2590000000000001"
"0.4","1","0.2600000000000001"
"0.4","1","0.2610000000000001"
"0.4","1","0.2620000000000001"
"0.4","1","0.2630000000000001"
"0.4","1","0.2640000000000001"
"0.4","1","0.2650000000000001"
"0.4","1","0.2660000000000001"
"0.4","1","0.2670000000000001"
"0.4","1","0.2680000000000001"
"0.4","1","0.2690000000000001"
"0.3","1","0.2700000000000001"
"0.3","1","0.2710000000000001"
"0.3","1","0.2720000000000001"
"0.3","1","0.2730000000000001"
"0.3","1","0.2740000000000001"
"0.3","1","0.2750000000000001"
"0.3","1","0.2760000000000001"
"0.3","1","0.2770000000000001"
"0.3","1","0.2780000000000001"
"0.3","1","0.2790000000000001"
"0.3","1","0.2800000000000001"
"0.3","1","0.2810000000000001"
"0.3","1","0.2820000000000001"
"0.3","1","0.2830000000000001"
"0.3","1","0.2840000000000001"
"0.3","1","0.2850000000000001"
"0.3","1","0.2860000000000001"
"0.3","1","0.2870000000000001"
"0.3","1","0.2880000000000001"
"0.3","1","0.2890000000000001"
"0.3","1","0.2900000000000001"
"0.3","1","0.2910000000000001"
"0.3","1","0.2920000000000001"
"0.3","1","0.2930000000000001"
"0.3","1","0.2940000000000002"
"0.3","1","0.2950000000000002"
"0.3","1","0.2960000000000002"
"0.3","1","0.2970000000000002"
"0.3","1","0.2980000000000002"
"0.3","1","0.2990000000000002"
"0.3","1","0.3000000000000002"
"0.3","1","0.3010000000000002"
"0.3","1","0.3020000000000002"
"0.3","1","0.3030000000000002"
"0.3","1","0.3040000000000002"
"0.3","1","0.3050000000000002"
"0.3","1","0.3060000000000002"
"0.3","1","0.3070000000000002"
"0.3","1","0.3080000000000002"
"0.3","1","0.3090000000000002"
"0.2","1","0.3100000000000002"
"0.2","1","0.3110000000000002"
"0.2","1","0.3120000000000002"
"0.2","1","0.3130000000000002"
"0.2","1","0.3140000000000002"
"0.2","1","0.3150000000000002"
"0.2","1","0.3160000000000002"
"0.2","1","0.3170000000000002"
"0.2","1","0.3180000000000002"
"0.2","1","0.3190000000000002"
"0.2","1","0.3200000000000002"
"0.2","1","0.3210000000000002"
"0.2","1","0.3220000000000002"
"0.2","1","0.3230000000000002"
"0.2","1","0.3240000000000002"
"0.2","1","0.3250000000000002"
"0.2","1","0.3260000000000002"
"0.2","1","0.3270000000000002"
"0.2","1","0.3280000000000002"
"0.2","1","0.3290000000000002"
"0.2","1","0.3300000000000002"
"0.2","1","0.3310000000000002"
"0.2","1","0.3320000000000002"
"0.2","1","0.3330000000000002"
"0.2","1","0.3340000000000002"
"0.2","1","0.3350000000000002"
"0.2","1","0.3360000000000002"
"0.2","1","0.3370000000000002"
"0.2","1","0.3380000000000002"
"0.2","1","0.3390000000000002"
"0.2","1","0.3400000000000002"
"0.2","1","0.3410000000000002"
"0.2","1","0.3420000000000002"
"0.2","1","0.3430000000000002"
"0.2","1","0.3440000000000002"
"0.2","1","0.3450000000000002"
"0.2","1","0.3460000000000002"
"0.2","1","0.3470000000000002"
"0.2","1","0.3480000000000002"
"0.2","1","0.3490000000000002"
"0.1","1","0.3500000000000002"
"0.1","1","0.3510000000000002"
"0.1","1","0.3520000000000002"
"0.1","1","0.3530000000000002"
"0.1","1","0.3540000000000002"
"0.1","1","0.3550000000000002"
"0.1","1","0.3560000000000002"
"0.1","1","0.3570000000000002"
"0.1","1","0.3580000000000002"
"0.1","1","0.3590000000000002"
"0.1","1","0.36"
"0.1","1","0.37"
"0.1","1","0.38"
"0.1","1","0.39"
"0","1","0.4"
"0","1","0.5"
"0","1","0.6"
"0","1","0.7"
"0","1","0.8"
"0","1","0.9"
"0","1","1"
"1","0","0.001"
"1","0","0.002"
"1","0","0.003"
"1","0","0.004"
"1","0","0.005"
"1","0","0.006"
"1","0","0.007"
"1","0","0.008"
"1","0","0.009000000000000001"
"1","0","0.01"
"1","0","0.011"
"1","0","0.012"
"1","0","0.013"
"1","0","0.01400000000000001"
"1","0","0.01500000000000001"
"1","0","0.01600000000000001"
"1","0","0.01700000000000001"
"1","0","0.01800000000000001"
"1","0","0.01900000000000001"
"1","0","0.02000000000000001"
"1","0","0.02100000000000001"
"1","0","0.02200000000000001"
"1","0","0.02300000000000001"
"1","0","0.02400000000000001"
"1","0","0.02500000000000002"
"1","0","0.02600000000000002"
"1","0","0.02700000000000002"
"1","0","0.02800000000000002"
"1","0","0.02900000000000002"
"0.9","0","0.03000000000000002"
"0.9","0","0.03100000000000002"
"0.9","0","0.03200000000000002"
"0.9","0","0.03300000000000002"
"0.9","0","0.03400000000000002"
"0.9","0","0.03500000000000002"
"0.9","0","0.03600000000000003"
"0.9","0","0.03700000000000003"
"0.9","0","0.03800000000000003"
"0.9","0","0.03900000000000003"
"0.8","0","0.04000000000000003"
"0.8","0","0.04100000000000003"
"0.8","0","0.04200000000000003"
"0.8","0","0.04300000000000003"
"0.8","0","0.04400000000000003"
"0.8","0","0.04500000000000003"
"0.8","0","0.04600000000000003"
"0.8","0","0.04700000000000003"
"0.8","0","0.04800000000000004"
"0.8","0","0.04900000000000004"
"0.7","0","0.05000000000000004"
"0.7","0","0.05100000000000004"
"0.7","0","0.05200000000000004"
"0.7","0","0.05300000000000004"
"0.7","0","0.05400000000000004"
"0.7","0","0.05500000000000004"
"0.7","0","0.05600000000000004"
"0.7","0","0.05700000000000004"
"0.7","0","0.05800000000000004"
"0.7","0","0.05900000000000005"
"0.6","0","0.06000000000000005"
"0.6","0","0.06100000000000005"
"0.6","0","0.06200000000000005"
"0.6","0","0.06300000000000004"
"0.6","0","0.06400000000000004"
"0.6","0","0.06500000000000004"
"0.6","0","0.06600000000000004"
"0.6","0","0.06700000000000005"
"0.6","0","0.06800000000000005"
"0.6","0","0.06900000000000005"
"0.5","0","0.07000000000000005"
"0.5","0","0.07100000000000005"
"0.5","0","0.07200000000000005"
"0.5","0","0.07300000000000005"
"0.5","0","0.07400000000000005"
"0.5","0","0.07500000000000005"
"0.5","0","0.07600000000000005"
"0.5","0","0.07700000000000005"
"0.5","0","0.07800000000000006"
"0.5","0","0.07900000000000006"
"0.4","0","0.08000000000000006"
"0.4","0","0.08100000000000006"
"0.4","0","0.08200000000000006"
"0.4","0","0.08300000000000006"
"0.4","0","0.08400000000000006"
"0.4","0","0.08500000000000006"
"0.4","0","0.08600000000000006"
"0.4","0","0.08700000000000006"
"0.4","0","0.08800000000000006"
"0.4","0","0.08900000000000007"
"0.3","0","0.09000000000000007"
"0.3","0","0.09100000000000007"
"0.3","0","0.09200000000000007"
"0.3","0","0.09300000000000007"
"0.3","0","0.09400000000000007"
"0.3","0","0.09500000000000007"
"0.3","0","0.09600000000000007"
"0.3","0","0.09700000000000007"
"0.3","0","0.09800000000000007"
"0.3","0","0.09900000000000007"
"0.2","0","0.1000000000000001"
"0.2","0","0.1010000000000001"
"0.2","0","0.1020000000000001"
"0.2","0","0.1030000000000001"
"0.2","0","0.1040000000000001"
"0.2","0","0.1050000000000001"
"0.2","0","0.1060000000000001"
"0.2","0","0.1070000000000001"
"0.2","0","0.1080000000000001"
"0.2","0","0.1090000000000001"
"0.1","0","0.1100000000000001"
"0.1","0","0.1110000000000001"
"0.1","0","0.1120000000000001"
"0.1","0","0.1130000000000001"
"0.1","0","0.1140000000000001"
"0.1","0","0.1150000000000001"
"0.1","0","0.1160000000000001"
"0.1","0","0.1170000000000001"
"0.1","0","0.1180000000000001"
"0.1","0","0.119"
"0.1","0","0.11"
"0.1","0","0.12"
"0","0","0.13"
"0","0","0.14"
"0","0","0.15"
"0","0","0.16"
"0","0","0.17"
"0","0","0.18"
"0","0","0.19"
"0","0","0.2"
"0","0","0.3"
"0","0","0.4"
"0","0","0.5"
"0","0","0.6"
"0","0","0.7"
"0","0","0.8"
"0","0","0.9"
"0","0","1"
