Target,TemperatureC,DewpointC,Humidity,HourlyPrecipMM
2,8.9,6,82,0.5
2,8.8,5.2,78,0.3
2,6.6,3.2,79,0.3
2,6.1,1.8,74,0.5
2,4.9,1.7,80,0.3
2,4.8,0.9,76,0.3
2,9.1,6.7,85,1.3
2,9.2,6.9,86,1.3
2,9.1,6.9,86,1
2,9.1,6.9,86,1
2,9.1,7.1,87,1
3,1.9,-0.5,84,0
3,1.8,-0.6,84,0
3,1.7,-0.7,84,0
3,1.5,-0.7,85,0
3,1.4,-0.7,86,0
3,1.3,-0.8,86,0
3,1.3,-0.8,86,0
3,1.3,-0.8,86,0
3,1.2,-0.9,86,0
3,0.7,-1.1,88,0
3,0.7,-1.1,88,0
3,0.8,-1,88,0
3,1.1,-0.7,88,0
3,1.1,-0.7,88,0
3,1.4,-0.7,86,0
3,0.9,-0.9,88,0
3,0.9,-0.9,88,0
3,0.9,-0.9,88,0
3,0.9,-0.9,88,0
3,0.8,-0.9,88,0
3,5.4,3.1,85,0.3
3,4.8,3,88,0.5
3,4.6,2.8,88,0.5
3,3.4,1.9,90,1.8
3,3.4,1.9,90,1.8
3,3.3,1.8,90,2
3,3.1,1.7,91,2.3
3,3,1.7,91,2.3
3,3.1,1.9,92,2.3
3,3.3,2,91,1.5
3,3.2,1.8,91,1.3
3,3.2,1.7,90,0.8
3,3.6,1.8,88,0.5
3,3.9,1.9,87,0.3
3,-0.1,-2.1,86,0
3,-0.3,-2.2,87,0
3,-0.3,-2,88,0
3,-0.3,-2.1,88,0
3,-1.3,-3.2,87,0
3,-1.2,-3.1,87,0
3,-1.1,-3,87,0
3,-1.1,-3.1,86,0
3,-0.8,-2.9,86,0
3,-0.6,-1.7,92,0
3,-0.4,-2.6,85,0
3,4.1,2.9,92,0.8
3,4.1,2.9,92,0.8
3,4.1,2.9,92,0.8
3,4.2,3.1,92,0.8
3,4.2,3.1,92,0.8
2,10.4,9.2,92,0.3
2,10.3,9.3,93,0.3
2,10.2,9.3,94,0.5
2,10.1,9.1,94,1
2,9.8,8.8,93,1.3
2,9.4,8.1,91,1
2,9.2,7.8,91,0.3
3,2.7,0.9,88,0.3
3,2.9,1.2,88,0.3
3,2.6,1,89,0.5
3,2.8,1.1,88,0.5
3,3.6,1.4,86,0.5
3,3.4,1,84,0.5
3,3.1,1,86,0.3
3,2.2,0.1,86,0.3
3,2.2,0.6,89,0.5
3,3,1.2,88,0.8
3,3.2,1.1,86,0.8
3,3.3,1.1,85,0.8
3,3.4,0.8,83,0.8
3,2.7,0.4,85,0.8
3,2.1,0.7,91,1.5
3,1.8,0.5,91,1.5
3,1.7,0.5,92,1.3
3,1.3,0.2,92,1
3,1.5,0.5,93,1
3,1.4,0.4,93,1
3,1.6,0.7,94,0.8
3,1.7,0.7,93,1.5
3,1.8,0.6,92,1.5
3,1.8,0.8,93,1.5
3,1.6,0.6,93,1.5
3,1.7,0.7,93,1.5
3,1.8,0.8,93,1
3,1.6,0.6,93,1
3,1.8,0.8,93,0.8
3,1.3,0.3,93,0
3,1.4,0.4,93,0
3,1.3,0.3,93,0
3,5.3,3.8,90,0.3
3,5.1,3.4,89,0.3
